Company Name,Ticker
PENGUIN INTERNATIONAL LIMITED,PENGUIN INTERNATIONAL LIMITED (SGX:BTM)
PERENNIAL REAL ESTATE HOLDINGS LIMITED,PERENNIAL REAL ESTATE HLDGSLTD (SGX:40S)
PNE INDUSTRIES LTD,PNE INDUSTRIES LTD (SGX:BDA)
POLARIS LTD.,POLARIS LTD. (SGX:5BI)
POLLUX PROPERTIES LTD.,POLLUX PROPERTIES LTD. (SGX:5AE)
POWERMATIC DATA SYSTEMS LIMITED,POWERMATIC DATA SYSTEMS LTD (SGX:BCY)
PROCURRI CORPORATION LIMITED,PROCURRI CORPORATION LIMITED (SGX:BVQ)
PROGEN HOLDINGS LTD,PROGEN HOLDINGS LTD (SGX:583)
PROPNEX LIMITED,PROPNEX LIMITED (SGX:OYY)
PRUDENTIAL PLC,PRUDENTIAL PLC (SGX:K6S)
Q &amp; M DENTAL GROUP,Q & M DENTAL GROUP (S) LIMITED (SGX:QC7)
QT VASCULAR LTD.,QT VASCULAR LTD. (SGX:5I0)
RAFFLES EDUCATION CORPORATION LIMITED,RAFFLES EDUCATION CORP LTD (SGX:NR7)
RAFFLES MEDICAL GROUP LTD,RAFFLES MEDICAL GROUP LTD (SGX:BSL)
RAMBA ENERGY LIMITED,RAMBA ENERGY LIMITED (SGX:R14)
